timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769960457088,5343,Ana sayfa,200,OK,Arama 1-1,text,true,,76877,341,1,1,https://www.n11.com/,5285,0,4940
1769960462791,136,Arama - Telefon,200,OK,Arama 1-1,text,true,,85359,356,1,1,https://www.n11.com/arama?q=telefon,78,0,0
1769960456274,6653,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162236,697,1,1,null,5363,0,4940
1769960463586,317,Ana sayfa,200,OK,Arama 1-1,text,true,,76598,341,1,1,https://www.n11.com/,306,0,0
1769960464396,110,Arama - Telefon,200,OK,Arama 1-1,text,true,,86106,356,1,1,https://www.n11.com/arama?q=telefon,92,0,0
1769960462928,1579,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162704,697,1,1,null,398,0,0
1769960465205,355,Ana sayfa,200,OK,Arama 1-1,text,true,,76679,341,1,1,https://www.n11.com/,341,0,0
1769960466240,114,Arama - Telefon,200,OK,Arama 1-1,text,true,,85095,356,1,1,https://www.n11.com/arama?q=telefon,95,0,0
1769960464507,1847,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,161774,697,1,1,null,436,0,0
1769960467101,374,Ana sayfa,200,OK,Arama 1-1,text,true,,76783,341,1,1,https://www.n11.com/,336,0,0
1769960468182,290,Arama - Telefon,200,OK,Arama 1-1,text,true,,85359,356,1,1,https://www.n11.com/arama?q=telefon,271,0,0
1769960466353,2120,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162142,697,1,1,null,607,0,0
1769960469188,308,Ana sayfa,200,OK,Arama 1-1,text,true,,77371,341,1,1,https://www.n11.com/,299,0,0
1769960470213,108,Arama - Telefon,200,OK,Arama 1-1,text,true,,85351,356,1,1,https://www.n11.com/arama?q=telefon,93,0,0
1769960468473,1848,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162722,697,1,1,null,392,0,0
1769960470783,326,Ana sayfa,200,OK,Arama 1-1,text,true,,76762,341,1,1,https://www.n11.com/,313,0,0
